# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  0.000000000;  0.000000000
145.0000000;  0.000000000;  0.000000000
148.3333333;  0.000000000;  0.000000000
151.6666667;  0.000000000;  0.000000000
155.0000000;  0.000000000;  0.000000000
158.3333333;  0.000000000;  0.000000000
161.6666667;  0.000000000;  0.000000000
165.0000000;  0.000000000;  0.000000000
168.3333333;  0.000000000;  0.000000000
171.6666667;  0.000000000;  0.000000000
175.0000000;  0.000000000;  0.000000000
178.3333333;  0.000000000;  0.000000000
181.6666667;  0.000000000;  0.000000000
185.0000000;  0.000000000;  0.000000000
188.3333333;  0.000000000;  0.000000000
191.6666667;  0.000000000;  0.000000000
195.0000000;  0.000000000;  0.000000000
198.3333333;  0.000000000;  0.000000000
201.6666667;  0.000000000;  0.000000000
205.0000000;  0.000000000;  0.000000000
208.3333333;  0.000000000;  0.000000000
211.6666667;  0.000000000;  0.000000000
215.0000000;  0.000000000;  0.000000000
218.3333333;  0.000000000;  0.000000000
221.6666667;  0.000000000;  0.000000000
225.0000000;  0.000000000;  0.000000000
228.3333333;  0.000000000;  0.000000000
231.6666667;  0.000000000;  0.000000000
235.0000000;  0.000000000;  0.000000000
238.3333333;  0.000000000;  0.000000000
241.6666667;  0.000000000;  0.000000000
245.0000000;  0.000000000;  0.000000000
248.3333333;  0.000000000;  0.000000000
251.6666667;  0.000000000;  0.000000000
255.0000000;  0.000000000;  0.000000000
258.3333333;  0.000000000;  0.000000000
261.6666667;  0.000000000;  0.000000000
265.0000000;  0.000000000;  0.000000000
268.3333333;  0.000000000;  0.000000000
271.6666667;  0.000000000;  0.000000000
275.0000000;  0.000000000;  0.000000000
278.3333333;  0.000000000;  0.000000000
281.6666667;  0.000000000;  0.000000000
285.0000000;  0.000000000;  0.000000000
288.3333333;  0.000000000;  0.000000000
291.6666667;  0.000000000;  0.000000000
295.0000000;  0.000000000;  0.000000000
298.3333333;  0.000000000;  0.000000000
301.6666667;  0.000000000;  0.000000000
305.0000000;  0.000000000;  0.000000000
308.3333333;  0.000000000;  0.000000000
311.6666667;  0.000000000;  0.000000000
315.0000000;  0.000000000;  0.000000000
318.3333333;  0.000000000;  0.000000000
321.6666667;  0.001673831445;  2.269761913E-05
325.0000000;  0.005350710901;  9.676629721E-05
328.3333333;  0.006932185027;  0.0001947054642
331.6666667;  0.01167422206;  0.0003630069057
335.0000000;  0.01421191409;  0.0005720319618
338.3333333;  0.02514927349;  0.0009493183263
341.6666667;  0.03254244734;  0.001447183164
345.0000000;  0.05426744624;  0.002293695968
348.3333333;  0.06796248085;  0.003374420942
351.6666667;  0.09742285300;  0.004953409864
355.0000000;  0.1292532183;  0.007088193378
358.3333333;  0.1470805963;  0.009563252120
361.6666667;  0.1672121024;  0.01242967543
365.0000000;  0.2123544267;  0.01613735884
368.3333333;  0.2667975443;  0.02088108288
371.6666667;  0.3175291410;  0.02662947391
375.0000000;  0.3605493573;  0.03327428592
378.3333333;  0.4069683571;  0.04090851599
381.6666667;  0.4634753668;  0.04975662489
385.0000000;  0.5187984298;  0.05983464924
388.3333333;  0.5708342187;  0.07111635022
391.6666667;  0.6321985517;  0.08382624397
395.0000000;  0.6992906598;  0.09812529032
398.3333333;  0.7453065930;  0.1136235658
401.6666667;  0.8405815014;  0.1313968008
405.0000000;  0.8562034159;  0.1498020640
408.3333333;  0.9573228815;  0.1707211689
411.6666667;  1.064928014;  0.1943731002
415.0000000;  1.118461598;  0.2196179146
418.3333333;  1.170620218;  0.2464661557
421.6666667;  1.305125757;  0.2768782089
425.0000000;  1.410295622;  0.3102625511
428.3333333;  1.508433379;  0.3465323084
431.6666667;  1.557436974;  0.3845654538
435.0000000;  1.639186992;  0.4252155630
438.3333333;  1.776261228;  0.4699426386
441.6666667;  1.890552701;  0.5182744058
445.0000000;  1.928768335;  0.5683302394
448.3333333;  2.093551638;  0.6234795789
451.6666667;  2.257518761;  0.6838357941
455.0000000;  2.313964549;  0.7466176305
458.3333333;  2.459767638;  0.8143367749
461.6666667;  2.651435332;  0.8883982813
465.0000000;  2.811616582;  0.9680722480
468.3333333;  2.985728926;  1.053897468
471.6666667;  3.166488777;  1.146218938
475.0000000;  3.286378407;  1.243394967
478.3333333;  3.466127472;  1.347329569
481.6666667;  3.589201284;  1.456459859
485.0000000;  3.772600384;  1.572759553
488.3333333;  3.838790417;  1.692731969
491.6666667;  3.875322577;  1.815505185
495.0000000;  3.971860131;  1.943048753
498.3333333;  3.906456200;  2.070187238
501.6666667;  3.870822304;  2.197856957
505.0000000;  3.818571182;  2.325482558
508.3333333;  3.709425306;  2.451102314
511.6666667;  3.570037510;  2.573592457
515.0000000;  3.417747296;  2.692390285
518.3333333;  3.295714240;  2.808434074
521.6666667;  3.120455371;  2.919724603
525.0000000;  2.956450741;  3.026517727
528.3333333;  2.829875360;  3.130040846
531.6666667;  2.720922403;  3.230838175
535.0000000;  2.514737772;  3.325169135
538.3333333;  2.356635280;  3.414674462
541.6666667;  2.180212473;  3.498507844
545.0000000;  2.019136071;  3.577106030
548.3333333;  1.880931139;  3.651222736
551.6666667;  1.742487554;  3.720721498
555.0000000;  1.613167411;  3.785842233
558.3333333;  1.476479076;  3.846163197
561.6666667;  1.365840997;  3.902632354
565.0000000;  1.256363756;  3.955193658
568.3333333;  1.181591626;  4.005211792
571.6666667;  1.102395752;  4.052426475
575.0000000;  1.035677212;  4.097302450
578.3333333;  0.9794583140;  4.140235940
581.6666667;  0.9229426399;  4.181159822
585.0000000;  0.9049250323;  4.221745994
588.3333333;  0.8271251163;  4.259266774
591.6666667;  0.8071237596;  4.296296293
595.0000000;  0.8062863750;  4.333705367
598.3333333;  0.7639691131;  4.369549320
601.6666667;  0.7577454979;  4.405498498
605.0000000;  0.7485705205;  4.441406988
608.3333333;  0.7342496333;  4.477017698
611.6666667;  0.7363557423;  4.513122998
615.0000000;  0.7274587713;  4.549181880
618.3333333;  0.7240655170;  4.585462676
621.6666667;  0.7233828708;  4.622101119
625.0000000;  0.6910984400;  4.657480771
628.3333333;  0.7018771724;  4.693796512
631.6666667;  0.6670672427;  4.728678330
635.0000000;  0.6706546173;  4.764118839
638.3333333;  0.6579664592;  4.799254843
641.6666667;  0.6425533851;  4.833927069
645.0000000;  0.6281609305;  4.868175754
648.3333333;  0.6041938379;  4.901459065
651.6666667;  0.5771997144;  4.933583141
655.0000000;  0.5501567405;  4.964516178
658.3333333;  0.5437734595;  4.995402287
661.6666667;  0.5384708585;  5.026297715
665.0000000;  0.5180168487;  5.056319787
668.3333333;  0.5133516975;  5.086370496
671.6666667;  0.4885087538;  5.115252905
675.0000000;  0.4765902608;  5.143711023
678.3333333;  0.4811663401;  5.172726853
681.6666667;  0.4585002744;  5.200648251
685.0000000;  0.4395495404;  5.227678025
688.3333333;  0.4286670396;  5.254295761
691.6666667;  0.4225149361;  5.280786202
695.0000000;  0.4257843215;  5.307739548
698.3333333;  0.4148918053;  5.334255901
701.6666667;  0.4060764561;  5.360457205
705.0000000;  0.4026436843;  5.386684440
708.3333333;  0.3993326760;  5.412942558
711.6666667;  0.3980649505;  5.439364246
715.0000000;  0.3894864023;  5.465459273
718.3333333;  0.4038956143;  5.492772595
721.6666667;  0.4109837893;  5.520823788
725.0000000;  0.4128071152;  5.549260313
728.3333333;  0.4085362802;  5.577662014
731.6666667;  0.4052413778;  5.606093113
735.0000000;  0.4077559397;  5.634961884
738.3333333;  0.4194198064;  5.664926396
741.6666667;  0.4345162032;  5.696250366
745.0000000;  0.4321337463;  5.727683236
748.3333333;  0.4481013392;  5.760569892
751.6666667;  0.4516717185;  5.794014551
755.0000000;  0.4751274827;  5.829508747
758.3333333;  0.4572472721;  5.863969494
761.6666667;  0.4671862813;  5.899489518
765.0000000;  0.4919225132;  5.937218304
768.3333333;  0.5022040287;  5.976072042
771.6666667;  0.5076746350;  6.015690558
775.0000000;  0.5221270263;  6.056789706
778.3333333;  0.5367401227;  6.099403339
781.6666667;  0.5291589596;  6.141775692
785.0000000;  0.5454909387;  6.185829158
788.3333333;  0.5718811845;  6.232406941
791.6666667;  0.5585232642;  6.278282271
795.0000000;  0.5753777840;  6.325940792
798.3333333;  0.5889039051;  6.375129586
801.6666667;  0.6231994187;  6.427618537
805.0000000;  0.6266608980;  6.480838866
808.3333333;  0.6364239235;  6.535336879
811.6666667;  0.6418389326;  6.590752814
815.0000000;  0.6512073430;  6.647440365
818.3333333;  0.6714256544;  6.706366993
821.6666667;  0.6824619461;  6.766751142
825.0000000;  0.7095235099;  6.830040087
828.3333333;  0.7220815372;  6.894970727
831.6666667;  0.7299477437;  6.961138043
835.0000000;  0.7429641566;  7.029026192
838.3333333;  0.7656231660;  7.099544468
841.6666667;  0.7631122576;  7.170391528
845.0000000;  0.7877422513;  7.244105650
848.3333333;  0.7915251703;  7.318759280
851.6666667;  0.8019029857;  7.394987234
855.0000000;  0.8404359395;  7.475504677
858.3333333;  0.8123101157;  7.553935531
