#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
132.33; 981.50782; 0.029637318506841; 84533.43839327
133.35; 977.55695; 0.029518019210204; 85528.549190008
134.37; 969.5575; 0.029276470194803; 86515.516885516
135.39; 959.81821; 0.028982385487704; 87492.57040087
136.41; 950.8039; 0.028710192061278; 88460.447742595
137.42; 944.35278; 0.028515395958517; 89421.758118304
138.44; 941.2105; 0.028420512605272; 90379.869791266
139.46; 940.99394; 0.028413973423856; 91337.761011639
140.48; 942.52848; 0.028460309937753; 92297.214333231
141.5; 944.37539; 0.028516078683359; 93258.547728758
142.51; 945.32453; 0.02854473863279; 94220.847309958
143.53; 944.6799; 0.028525273576843; 95182.490682366
144.55; 942.27781; 0.028452740780912; 96141.688832105
145.57; 938.29725; 0.028332544973857; 97096.834947601
146.59; 932.99723; 0.028172507144681; 98046.585862107
147.6; 926.52068; 0.027976943165195; 98989.74393271
148.62; 918.84582; 0.027745195372992; 99925.089328503
149.64; 909.87728; 0.027474384003887; 100851.3051336
150.66; 899.59659; 0.027163951343248; 101767.05563891
151.68; 888.16656; 0.026818813553462; 102671.17086954
152.69; 875.91566; 0.026448889017053; 103562.81521453
153.71; 863.19757; 0.026064857350215; 104441.51308961
154.73; 850.19181; 0.025672139285531; 105306.97166379
155.75; 836.74905; 0.025266225698687; 106158.74608492
156.77; 822.37101; 0.024832070674854; 106995.88428929
157.78; 806.35703; 0.024348517292853; 107816.72094751
158.8; 788.07334; 0.023796428422068; 108618.94559705
159.82; 767.24324; 0.023167448911513; 109399.96610769
160.84; 744.14118; 0.022469865971844; 110157.46971561
161.86; 719.60925; 0.021729107102497; 110890.00088279
162.87; 694.8843; 0.020982519858582; 111597.3631153
163.89; 671.29728; 0.020270293210844; 112280.71477839
164.91; 649.95361; 0.019625806093161; 112942.33950436
165.93; 631.50464; 0.019068726476604; 113585.18397875
166.94; 616.07853; 0.018602924242454; 114212.32533726
167.96; 603.37294; 0.018219270021903; 114826.53295568
168.98; 592.85132; 0.017901562310569; 115430.03002004
170; 583.95298; 0.017632870679807; 116024.46895445
171.02; 576.23586; 0.017399846817199; 116611.05219348
172.03; 569.4121; 0.017193798587717; 117190.68914118
173.05; 563.28964; 0.017008926604664; 117764.09368839
174.07; 557.67424; 0.016839365654713; 118331.78200118
175.09; 552.29825; 0.016677033857989; 118893.99778401
176.11; 546.8222; 0.016511680679234; 119450.6391878
177.12; 540.91462; 0.016333297148816; 120001.26692714
178.14; 534.37357; 0.016135785546495; 120545.23616154
179.16; 527.23032; 0.015920090091899; 121081.93387263
180.18; 519.7801; 0.015695125462391; 121611.04758525
181.2; 512.51531; 0.015475760022067; 122132.76605839
182.21; 505.97773; 0.015278353198835; 122647.82955172
183.23; 500.58097; 0.015115394237362; 123157.39937652
184.25; 496.46743; 0.014991183005738; 123662.78179901
185.27; 493.45064; 0.014900088911247; 124165.09325928
186.29; 491.06101; 0.014827932353775; 124664.97217817
187.3; 488.67458; 0.014755872422552; 125162.42181579
188.32; 485.67613; 0.014665332117252; 125656.81915391
189.34; 481.60046; 0.014542264396896; 126147.06764018
190.36; 476.21027; 0.014379503821191; 126631.82914289
191.38; 469.49719; 0.014176797652103; 127109.75702241
192.39; 461.62295; 0.013939029440659; 127579.66926186
193.41; 452.83652; 0.013673717011006; 128040.63729545
194.43; 443.4057; 0.013388946772374; 128492.00516812
195.45; 433.58782; 0.013092488984985; 128933.37886125
196.47; 423.64248; 0.012792182453307; 129364.62862057
197.48; 413.86928; 0.012497073809923; 129785.92968381
198.5; 404.643; 0.012218479800358; 130197.83879724
199.52; 396.4209; 0.011970207711711; 130601.37816606
200.54; 389.70906; 0.011767538985295; 130998.08516949
201.56; 384.99078; 0.011625067204311; 131389.9891689
202.57; 382.63324; 0.011553879626944; 131779.49329574
203.59; 382.79527; 0.011558772236682; 132169.16235819
204.61; 385.35846; 0.011636169560346; 132561.44063846
205.63; 389.89848; 0.011773258655334; 132958.34046654
206.65; 395.70622; 0.011948627446777; 133361.15232462
207.66; 401.86157; 0.012134492566497; 133770.23006455
208.68; 407.35582; 0.012300395307044; 134184.90071597
209.7; 411.25065; 0.012418002436491; 134603.53613576
210.72; 412.85194; 0.012466354513556; 135023.80159872
211.74; 411.86683; 0.012436608424692; 135443.0642558
212.75; 408.50661; 0.012335144219961; 135858.90635407
213.77; 403.50156; 0.012184013217263; 136269.65353321
214.79; 398.0093; 0.012018170566165; 136674.80982145
215.81; 393.42448; 0.011879728703688; 137075.2989623
216.82; 391.12763; 0.011810373703529; 137473.45001152
217.84; 392.23315; 0.011843755656976; 137872.72643692
218.86; 397.40202; 0.01199983331972; 138277.26454598
219.88; 406.76755; 0.012282632080911; 138691.33635416
220.9; 419.98715; 0.0126818071947; 139118.86515198
221.91; 436.39105; 0.013177134485169; 139563.092408
222.93; 455.16635; 0.013744067865446; 140026.43211467
223.95; 475.50647; 0.014358252085504; 140510.47717844
224.97; 496.67522; 0.014997457370839; 141016.07111901
225.99; 517.97709; 0.015640682308142; 141543.34944642
227; 538.67145; 0.016265563053987; 142091.69373793
228.02; 557.90002; 0.016846183240509; 142659.61188355
229.04; 574.6971; 0.017353382877436; 143244.62873708
230.06; 588.11841; 0.017758648766453; 143843.30789516
231.08; 597.46838; 0.018040977682507; 144451.50492215
232.09; 602.55086; 0.018194446738479; 145064.87569604
233.11; 603.83798; 0.01823331223157; 145679.55670293
234.13; 602.46467; 0.018191844170848; 146292.83974396
235.15; 600.01025; 0.018117731233786; 146903.62428817
236.17; 598.10666; 0.018060250995741; 147512.47106113
237.18; 597.98565; 0.018056597013736; 148121.19465065
238.2; 600.11382; 0.018120858602733; 148732.08461863
239.22; 604.04775; 0.018239646384163; 149346.97915773
240.24; 608.57302; 0.018376290092533; 149966.48023477
241.26; 612.09354; 0.018482594668435; 150589.56504598
242.27; 613.14685; 0.018514400104236; 151213.72208015
243.29; 610.87162; 0.018445697935173; 151835.56302579
244.31; 605.26511; 0.01827640542502; 152451.69678659
245.33; 597.13976; 0.018031054770627; 153059.55929549
246.35; 587.79363; 0.017748841806072; 153657.90784466
247.36; 578.51159; 0.017468564084114; 154246.80768374
248.38; 570.07561; 0.017213833738535; 154827.12005585
249.4; 562.45994; 0.016983873229985; 155399.68000195
250.42; 554.82225; 0.016753247812057; 155964.46510591
251.44; 545.79676; 0.016480716797673; 156520.06265521
252.45; 533.98898; 0.016124172581124; 157063.64039664
253.47; 518.50052; 0.0156564876449; 157591.45155034
254.49; 499.30187; 0.015076770913808; 158099.7193065
255.51; 477.32333; 0.014413113450238; 158585.6138611
256.53; 454.23047; 0.013715808311035; 159048.00088217
257.54; 431.9571; 0.013043248248385; 159487.71457008
258.56; 412.14936; 0.012445139616626; 159907.26483656
259.58; 395.70309; 0.011948532934227; 160310.07350483
260.6; 382.54474; 0.011551207307239; 160699.48753811
261.61; 371.72636; 0.01122453871912; 161077.88893267
262.63; 361.80353; 0.010924911892714; 161446.18931098
263.65; 351.37505; 0.010610016609146; 161803.87395321
264.67; 339.61263; 0.01025484206968; 162149.5849601
265.69; 326.61159; 0.009862266528713; 162482.06146436
266.7; 313.44912; 0.009464816495429; 162801.13914537
267.72; 301.92584; 0.00911686295635; 163108.4866226
268.74; 294.06258; 0.008879426293724; 163407.82963981
269.76; 291.49902; 0.008802017797649; 163704.56306459
270.78; 294.97134; 0.008906866940673; 164004.83116323
271.79; 304.02449; 0.009180233168198; 164314.31497812
272.81; 317.04713; 0.009573460936348; 164637.0552764
273.83; 331.62394; 0.010013617960042; 164974.63413496
274.85; 345.1083; 0.010420787688125; 165325.93948886
275.87; 355.25536; 0.010727185296988; 165687.57411862
276.88; 360.73977; 0.010892790911818; 166054.79163918
277.9; 361.41798; 0.010913269939468; 166422.6995496
278.92; 358.27137; 0.01081825583883; 166787.40434227
279.94; 353.05908; 0.010660867078667; 167146.80324873
280.96; 347.7913; 0.010501802758951; 167500.83978126
281.97; 344.1793; 0.01039273588015; 167851.1994571
282.99; 343.21625; 0.010363655908491; 168200.57878572
284.01; 344.99472; 0.010417358060192; 168551.76852583
285.03; 348.79077; 0.010531982458108; 168906.8224769
286.05; 353.36453; 0.010670090356112; 169266.53231646
287.06; 357.36943; 0.010791021126575; 169630.3189793
288.08; 359.7412; 0.010862638388794; 169996.51999474
289.1; 359.95757; 0.010869171833026; 170362.94126649
290.12; 358.11007; 0.010813385271955; 170727.48186707
291.14; 354.79053; 0.010713149428418; 171088.64332062
292.15; 350.84828; 0.010594110418741; 171445.79173161
293.17; 347.10332; 0.010481028719284; 171799.12792976
294.19; 344.10108; 0.01039037397227; 172149.40797575
295.21; 341.97024; 0.010326031760746; 172497.51892682
296.23; 340.4077; 0.010278849767169; 172844.03928125
297.24; 338.77747; 0.010229623826463; 173188.90012269
298.26; 336.28379; 0.010154325406106; 173531.22251029
299.28; 332.16781; 0.010030040496967; 173869.35500508
300.3; 325.88063; 0.009840194677736; 174201.08742161
301.32; 317.19973; 0.009578068800607; 174523.98305557
302.33; 306.27292; 0.009248126092424; 174835.7556679
303.35; 293.59057; 0.008865173620007; 175134.6182014
304.37; 279.89921; 0.008451753381428; 175419.54351766
305.39; 266.07716; 0.008034386866439; 175690.39858046
306.41; 252.99652; 0.007639407747523; 175947.93812073
307.42; 241.39536; 0.007289102567103; 176193.66817945
308.44; 231.78049; 0.006998774809356; 176429.6107156
309.46; 224.37491; 0.006775158116024; 176658.0146877
310.48; 219.1151; 0.00661633445606; 176881.06440177
311.49; 215.69409; 0.006513034654551; 177100.63167576
312.51; 213.63782; 0.006450944136591; 177318.10575766
313.53; 212.39746; 0.006413490594567; 177534.31720748
314.55; 211.43951; 0.006384564620993; 177749.55350716
315.57; 210.319; 0.00635073003396; 177963.64916874
316.58; 208.72697; 0.006302657569104; 178176.12421724
317.6; 206.51011; 0.006235717923218; 178386.34259673
318.62; 203.66504; 0.006149809034826; 178593.66482146
319.64; 200.31287; 0.006048587905504; 178797.57467593
320.66; 196.65978; 0.005938280285271; 178997.76584769
321.67; 192.94947; 0.005826244866919; 179194.18008501
322.69; 189.41273; 0.005719450516716; 179386.99407181
323.71; 186.22056; 0.005623060699855; 179576.55856236
324.73; 183.44816; 0.005539346133191; 179763.30087233
325.75; 181.05773; 0.005467165419156; 179947.60982379
326.76; 178.90616; 0.005402197250711; 180129.72857788
327.78; 176.77966; 0.005337986088538; 180309.68263839
328.8; 174.45016; 0.005267645198679; 180487.26537573
329.82; 171.7419; 0.005185867384398; 180662.09121572
330.84; 168.59069; 0.005090714383527; 180833.70925875
331.85; 165.07851; 0.004984661639787; 181001.75205707
332.87; 161.43048; 0.00487450680981; 181166.08132022
333.89; 157.9715; 0.004770060477464; 181326.88949487
334.91; 155.0521; 0.004681907142476; 181484.72584416
335.93; 152.96359; 0.004618843115055; 181640.43617402
336.94; 151.86776; 0.004585753757968; 181795.03099764
337.96; 151.76321; 0.004582596797232; 181949.51939751
338.98; 152.4992; 0.004604820532595; 182104.75700073
340; 153.83212; 0.004645068988877; 182261.35146016
341.02; 155.50452; 0.004695568282373; 182419.64835616
342.03; 157.31797; 0.004750326679761; 182579.79126365
343.05; 159.17321; 0.004806346955571; 182741.82272661
344.07; 161.06414; 0.004863444916017; 182905.77907406
345.09; 163.0314; 0.004922847714465; 183071.73800017
346.11; 165.09974; 0.004985302694559; 183239.80241508
347.12; 167.23237; 0.005049698956391; 183410.03775074
348.14; 169.32958; 0.005113025686428; 183582.40795592
349.16; 171.28015; 0.005171924518594; 183756.76376099
350.18; 173.04733; 0.005225285760809; 183932.91847544
351.2; 174.74959; 0.005276686697993; 184110.80601223
352.21; 176.68977; 0.005335271796806; 184290.66857509
353.23; 179.30066; 0.005414109455498; 184473.18890495
354.25; 183.00749; 0.005526039792803; 184659.48262828
355.27; 188.04741; 0.005678223719661; 184850.90677628
356.28; 194.31484; 0.00586747317376; 185048.71090313
357.3; 201.3066; 0.006078594281326; 185253.63233147
358.32; 208.21409; 0.006287170797011; 185465.58528556
359.34; 214.15861; 0.006466669756694; 185683.589508
360.36; 218.50648; 0.006597956747373; 185906.01967842
361.37; 221.15746; 0.006678004951793; 186131.14842664
362.39; 222.69178; 0.006724334822636; 186357.83904902
363.41; 224.29673; 0.006772797415973; 186586.16343922
364.43; 227.46395; 0.006868433850047; 186817.7119229
365.45; 233.53142; 0.007051645371399; 187055.43682776
366.46; 243.20831; 0.007343845866639; 187303.01239633
367.48; 256.24188; 0.007737403673821; 187563.85557123
368.5; 271.3512; 0.008193640211255; 187840.07937989
369.52; 286.4724; 0.00865023547364; 188131.69592567
370.54; 299.25902; 0.009036336451996; 188436.32869402
371.55; 307.69467; 0.009291056832993; 188749.54859024
372.57; 310.63404; 0.009379813176167; 189065.76063462
373.59; 308.10672; 0.009303498972365; 189379.39998456
374.61; 301.29227; 0.009097731864876; 189686.10251829
375.63; 292.17775; 0.008822512527065; 189983.52686443
376.64; 283.00732; 0.008545604947506; 190271.61610244
377.66; 275.69315; 0.008324748443374; 190552.25983399
378.68; 271.36074; 0.008193928278261; 190828.49335788
379.7; 270.14967; 0.008157359168374; 191103.49406307
380.72; 271.30428; 0.008192223428876; 191379.67011442
381.73; 273.49744; 0.008258447436604; 191658.07871004
382.75; 275.26556; 0.008311837062779; 191938.28716991
383.77; 275.41326; 0.008316296968095; 192218.64598838
384.79; 273.27406; 0.008251702320494; 192496.82718602
385.81; 268.77433; 0.008115829810376; 192770.42786073
386.82; 262.31883; 0.007920901450435; 193037.45711308
387.84; 254.57006; 0.007686921893832; 193296.59844511
388.86; 246.21638; 0.0074346766546; 193547.23609775
389.88; 237.80935; 0.007180820474619; 193789.31575206
390.9; 229.70992; 0.006936252492844; 194023.15053458
391.91; 222.13433; 0.006707502228065; 194249.27369275
392.93; 215.25157; 0.006499672452113; 194468.39050685
393.95; 209.26997; 0.006319053835768; 194681.4183097
394.97; 204.46253; 0.006173889805916; 194889.55234294
395.99; 201.11295; 0.006072746883464; 195094.2766446
397; 199.40177; 0.00602107660061; 195297.25903818
398.02; 199.28056; 0.006017416579464; 195500.11805394
399.04; 200.3906; 0.006050935017489; 195704.10703766
400.06; 202.06849; 0.006101600085393; 195909.80403716
401.07; 203.45115; 0.006143350475937; 196116.90853154
402.09; 203.65711; 0.006149569582902; 196324.22267689
403.11; 201.99362; 0.006099339333119; 196529.84346971
404.13; 198.12937; 0.005982655588266; 196731.53061423
405.15; 192.18188; 0.005803066947346; 196927.16347182
406.16; 184.69565; 0.005577014970577; 197115.17566936
407.18; 176.51932; 0.00533012493925; 197294.86471624
408.2; 168.61953; 0.005091585227598; 197466.5121179
409.22; 161.88462; 0.004888219886316; 197631.30367839
410.24; 156.97012; 0.004739823104514; 197791.09248841
411.25; 154.22094; 0.004656809682071; 197948.08275081
412.27; 153.67958; 0.00464046293636; 198104.52193031
413.29; 155.16331; 0.004685265206594; 198262.47148543
414.31; 158.37527; 0.004782252596415; 198423.69067199
415.33; 163.0089; 0.00492216831115; 198589.62670231
416.34; 168.81355; 0.005097443797871; 198761.47160912
417.36; 175.60655; 0.005302563207533; 198940.23150183
418.38; 183.23907; 0.005533032513676; 199126.76096819
419.4; 191.53993; 0.005783682815882; 199321.74035515
420.42; 200.27038; 0.006047304890088; 199525.60695968
421.43; 209.11843; 0.006314477978953; 199738.48049331
422.45; 217.74687; 0.006575019789509; 199960.1374158
423.47; 225.88772; 0.006820838477297; 200190.08136703
424.49; 233.45487; 0.007049333890343; 200427.72835187
425.51; 240.6338; 0.007266106727618; 200672.68317351
426.52; 247.90617; 0.007485701051369; 200925.0409584
427.54; 255.98187; 0.007729552489115; 201185.61945664
428.56; 265.63698; 0.008021095321946; 201456.02644308
429.58; 277.48803; 0.008378946106559; 201738.49728375
430.6; 291.75975; 0.008809890723261; 202035.49612108
431.61; 308.11703; 0.009303810290061; 202349.14596282
432.63; 325.62427; 0.009832453707345; 202680.61741342
433.65; 342.86699; 0.010353109757304; 203029.64121587
434.67; 358.22677; 0.010816909110481; 203394.30061397
435.69; 370.25304; 0.011180050786153; 203771.2022272
436.7; 378.0392; 0.011415159360087; 204156.02982093
437.72; 381.49789; 0.01151959693568; 204544.37821429
438.74; 381.4477; 0.011518081413352; 204932.67551221
439.76; 379.4698; 0.011458357332626; 205318.95939191
440.78; 377.55504; 0.01140053980858; 205703.29413294
441.79; 377.62316; 0.011402596739861; 206087.69821516
442.81; 381.03689; 0.011505676716652; 206475.57732268
443.83; 388.24129; 0.011723218638479; 206870.79020497
444.85; 398.62841; 0.012036865027775; 207276.57672292
445.87; 410.66691; 0.012400375996892; 207694.61791286
446.88; 422.26349; 0.012750542880993; 208124.46392798
447.9; 431.25829; 0.013022147189256; 208563.46625449
448.92; 435.92037; 0.013162921971737; 209007.21438227
449.94; 435.31269; 0.013144572647011; 209450.34391322
450.95; 429.4362; 0.012967127900996; 209887.49143622
451.97; 419.12905; 0.012655896262059; 210314.14672038
452.99; 405.76637; 0.012252400747102; 210727.19937657
454.01; 390.85989; 0.01180228910604; 211125.07787828
455.03; 375.67697; 0.011343830164873; 211507.50082687
456.04; 360.98303; 0.010900136318501; 211874.96597125
457.06; 346.96508; 0.010476854465318; 212228.16144724
458.08; 333.33509; 0.010065287337024; 212567.4821826
459.1; 319.55804; 0.009649279628665; 212892.77847272
460.12; 305.11854; 0.009213268776934; 213203.37597939
461.13; 289.7387; 0.008748863697956; 213498.3174773
462.15; 273.48621; 0.00825810833886; 213776.71463778
463.17; 256.75441; 0.007752879877418; 214038.07954751
464.19; 240.13946; 0.007251179783856; 214282.53115781
465.21; 224.26922; 0.006771966732186; 214510.8275429
466.22; 209.64629; 0.006330417082675; 214724.23841909
467.24; 196.5537; 0.005935077125109; 214924.32160211
468.26; 185.04297; 0.005587502542101; 215112.68735765
469.28; 174.99344; 0.00528404992014; 215290.82312352
470.3; 166.20871; 0.005018788823181; 215460.01642314
471.31; 158.50881; 0.004786284930578; 215621.37154711
472.33; 151.78489; 0.004583251440071; 215775.88201636
473.35; 146.00325; 0.004408670756473; 215924.50702621
474.37; 141.1666; 0.00426262471014; 216068.20852956
475.39; 137.25718; 0.004144577025388; 216207.9304132
476.4; 134.19098; 0.004051990961218; 216344.53104283
477.42; 131.80541; 0.0039799569983; 216478.70325866
478.44; 129.88768; 0.003922049793016; 216610.92331648
479.46; 128.23421; 0.003872122104175; 216741.46021347
480.48; 126.71806; 0.003826340889254; 216870.45373283
481.49; 125.33786; 0.00378466478014; 216998.04226702
482.51; 124.22705; 0.003751123091424; 217124.5000424
483.53; 123.61569; 0.003732662646511; 217250.33547995
484.55; 123.75337; 0.003736819990884; 217376.31107439
485.57; 124.81546; 0.003768890544955; 217503.36782694
486.58; 126.82168; 0.003829469767987; 217632.46682169
487.6; 129.59369; 0.003913172558326; 217764.38761001
488.62; 132.76725; 0.004009000433157; 217899.53894587
489.64; 135.85823; 0.004102334746845; 218037.83676387
490.66; 138.36552; 0.004178044130718; 218178.68689527
491.67; 139.88221; 0.004223841651318; 218321.08095259
492.69; 140.18376; 0.004232947165522; 218463.78197411
493.71; 139.26892; 0.004205322928699; 218605.55172851
494.73; 137.34375; 0.004147191067386; 218745.36174411
495.74; 134.75645; 0.004069065725326; 218882.53799361
496.76; 131.90507; 0.003982966302049; 219016.81166612
497.78; 129.14689; 0.00389968111828; 219148.27762671
498.8; 126.73459; 0.003826840024223; 219277.2879711
499.82; 124.79324; 0.003768219596437; 219404.32210424
500.83; 123.33645; 0.003724230798439; 219529.87329229
501.85; 122.30739; 0.003693157608434; 219654.37693904
502.87; 121.62416; 0.003672526998355; 219778.18508828
503.89; 121.21214; 0.003660085764855; 219901.57381604
504.91; 121.01532; 0.003654142646614; 220024.76219315
505.92; 120.9906; 0.003653396208839; 220147.9254053
506.94; 121.09691; 0.003656606314012; 220271.19683806
507.96; 121.29225; 0.003662504742613; 220394.66711677
508.98; 121.545; 0.003670136706515; 220518.3946769
510; 121.85554; 0.003679513680088; 220642.43836032
511.01; 122.27527; 0.003692187722457; 220766.90930988
512.03; 122.90733; 0.00371127321842; 220892.02366566
513.05; 123.87976; 0.003740636425771; 221018.12791487
514.07; 125.29398; 0.003783339792697; 221145.67177865
515.09; 127.165; 0.003839836556699; 221275.12026078
516.1; 129.3779; 0.003906656627602; 221406.82137948
517.12; 131.68298; 0.003976260138396; 221540.86897468
518.14; 133.73975; 0.004038365754208; 221677.01026957
