#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 6.8178648E-05; 6.9402921544514E-05
1.02; 7.2293046E-05; 0.0001429941232888
2.04; 8.4326075E-05; 0.00022883442860313
3.05; 0.0001034245; 0.00033411610955515
4.07; 0.00012840936; 0.00046483129416235
5.09; 0.00015808915; 0.00062575922720195
6.11; 0.00019159607; 0.00082079576237525
7.13; 0.0002286519; 0.0010535535332055
8.14; 0.00026967074; 0.0013280667090127
9.16; 0.00031563694; 0.0016493714905672
10.18; 0.00036775865; 0.0020237339226045
11.20; 0.00042697535; 0.002458376407094
12.22; 0.00049346439; 0.0029607018643244
13.23; 0.00056631669; 0.0035371878214662
14.25; 0.00064351751; 0.0041922608826598
15.27; 0.00072227712; 0.0049275078249492
16.29; 0.00079963767; 0.0057415044704723
17.31; 0.00087317972; 0.0066303637474464
18.32; 0.00094160725; 0.007588879293043
19.34; 0.0010050258; 0.008611952236471
20.36; 0.0010648346; 0.0096959079523076
21.38; 0.0011232886; 0.010839367244379
22.40; 0.001182899; 0.012043507397183
23.41; 0.001245881; 0.01331176044655
24.43; 0.0013138073; 0.014649159536843
25.45; 0.0013875175; 0.016061592483138
26.47; 0.0014672027; 0.017555141550168
27.48; 0.0015525092; 0.019135528872084
28.50; 0.0016425151; 0.020807538344891
29.52; 0.0017355346; 0.022574237660702
30.54; 0.0018288457; 0.02443592362042
31.56; 0.0019185572; 0.02638893207177
32.57; 0.0019998509; 0.028424694024023
33.59; 0.0020677298; 0.030529553732227
34.61; 0.0021182009; 0.03268579088533
35.63; 0.0021495934; 0.034873984219149
36.65; 0.002163562; 0.037076396928265
37.66; 0.0021653375; 0.039280617069615
38.68; 0.0021629776; 0.041482434905597
39.70; 0.0021656939; 0.043687017867001
40.72; 0.0021816775; 0.045907871440384
41.74; 0.0022160682; 0.048163733251619
42.75; 0.0022697267; 0.050474217134316
43.77; 0.0023392362; 0.052855458606159
44.79; 0.0024181568; 0.055317037904586
45.81; 0.0024991263; 0.057861040600789
46.83; 0.0025760937; 0.060483392791946
47.84; 0.0026459281; 0.063176833421971
48.86; 0.0027088676; 0.065934343788846
49.88; 0.0027677037; 0.068751746690587
50.90; 0.002826063; 0.071628556873296
51.92; 0.0028864826; 0.074566871645891
52.93; 0.0029490395; 0.077568866590439
53.95; 0.003011073; 0.080634009019817
54.97; 0.0030681079; 0.083757210466683
55.99; 0.0031156097; 0.086928766716413
57.01; 0.0031508764; 0.090136222924616
58.02; 0.0031743028; 0.093367526210329
59.04; 0.0031894891; 0.09661428846983
60.06; 0.0032021005; 0.099873888623584
61.08; 0.0032178662; 0.10314953755763
62.10; 0.0032404421; 0.1064481677868
63.11; 0.0032699352; 0.10977682066636
64.13; 0.0033026607; 0.11313878672281
65.15; 0.0033322691; 0.11653089292129
66.17; 0.0033518877; 0.11994297000157
67.19; 0.0033565557; 0.12335979883529
68.20; 0.0033451184; 0.12676498506672
69.22; 0.0033209248; 0.13014554317623
70.24; 0.0032910753; 0.13349571579831
71.26; 0.0032644625; 0.13681879777924
72.27; 0.003249247; 0.14012639097662
73.29; 0.0032505978; 0.14343535926937
74.31; 0.003269429; 0.14676349693092
75.33; 0.0033025178; 0.15012531758558
76.35; 0.0033439221; 0.1535292860147
77.36; 0.0033871754; 0.15697728437857
78.38; 0.0034274806; 0.16046631177627
79.40; 0.0034631351; 0.16399163384978
80.42; 0.0034956914; 0.16755009687185
81.44; 0.0035288109; 0.17114227405068
82.45; 0.0035662293; 0.17477254157484
83.47; 0.0036095864; 0.17844694473287
84.49; 0.0036569364; 0.18216954822279
85.51; 0.0037025423; 0.18593857652913
86.53; 0.0037381157; 0.18974381700665
87.54; 0.0037551591; 0.19356640697881
88.56; 0.0037476604; 0.19738136358798
89.58; 0.0037142362; 0.20116229576457
90.60; 0.0036589783; 0.2048869777616
91.62; 0.0035906759; 0.20854213083782
92.63; 0.0035206265; 0.21212597669607
93.65; 0.0034597224; 0.21564782480714
94.67; 0.0034157371; 0.21912489777042
95.69; 0.0033916588; 0.22257746011521
96.71; 0.0033855476; 0.22602380152466
97.72; 0.0033918668; 0.22947657554047
98.74; 0.0034037452; 0.23294144127087
99.76; 0.0034153385; 0.23641810850362
100.78; 0.0034234721; 0.23990305539056
101.80; 0.0034280548; 0.24339266728858
102.81; 0.0034312274; 0.24688550867379
103.83; 0.0034356766; 0.25038287917778
104.85; 0.0034428369; 0.25388753862056
105.87; 0.0034517117; 0.25740123215961
106.89; 0.0034587876; 0.26092212867494
107.90; 0.0034590902; 0.26444333319721
108.92; 0.0034479938; 0.26795324209066
109.94; 0.0034231217; 0.27143783230078
110.96; 0.0033856372; 0.27488426487928
111.98; 0.0033404432; 0.27828469190928
112.99; 0.0032951868; 0.28163904990878
114.01; 0.0032583647; 0.28495592459703
115.03; 0.00323711; 0.28825116292276
116.05; 0.0032353204; 0.2915445795186
117.07; 0.0032526494; 0.29485563621597
118.08; 0.003284593; 0.29819921015148
119.10; 0.0033235739; 0.30158246491623
120.12; 0.0033606584; 0.30500347011943
121.14; 0.0033874252; 0.30845172276218
122.15; 0.0033975374; 0.31191026924138
123.17; 0.0033877262; 0.31535882834358
124.19; 0.0033580887; 0.31877721775479
125.21; 0.0033117736; 0.3221484603644
126.23; 0.0032542222; 0.32546111811322
127.24; 0.0031921532; 0.32871059232844
128.26; 0.0031324504; 0.3318992916554
129.28; 0.0030810765; 0.33503569454957
130.30; 0.0030421237; 0.33813244523382
131.32; 0.003017122; 0.34120374522263
132.33; 0.0030047376; 0.34426243848251
133.35; 0.0030009773; 0.34731730385089
134.37; 0.0029999335; 0.35037110665699
135.39; 0.0029949836; 0.35341987076289
136.41; 0.0029802119; 0.35645359787962
137.42; 0.0029517232; 0.35945832474549
138.44; 0.0029085107; 0.36241906312345
139.46; 0.0028526379; 0.36532292545248
140.48; 0.0027886882; 0.36816168967233
141.50; 0.0027226475; 0.3709332273468
142.51; 0.0026605564; 0.37364155892792
143.53; 0.0026073174; 0.37629569555947
144.55; 0.0025659718; 0.37890774410919
145.57; 0.0025375764; 0.38149088737917
146.59; 0.0025216034; 0.38405777080376
147.60; 0.0025166166; 0.38661957789264
148.62; 0.0025209212; 0.38918576684644
149.64; 0.0025329428; 0.39176419329135
150.66; 0.0025512429; 0.39436124845854
151.68; 0.0025742472; 0.39698172099531
152.69; 0.0025998884; 0.3996282951655
153.71; 0.0026253939; 0.40230083285679
154.73; 0.0026473794; 0.40499575082556
155.75; 0.0026622758; 0.40770583273897
156.77; 0.0026669779; 0.41042070111733
157.78; 0.0026595092; 0.41312796669598
158.80; 0.0026394897; 0.41581485334058
159.82; 0.0026082552; 0.41846994457614
160.84; 0.0025685925; 0.42108466086843
161.86; 0.0025241713; 0.42365415829199
162.87; 0.0024788327; 0.42617750304051
163.89; 0.0024359209; 0.42865716539086
164.91; 0.0023978128; 0.43109803539686
165.93; 0.0023657362; 0.43350625274008
166.94; 0.0023398816; 0.43588815120829
167.96; 0.0023197459; 0.43824955247925
168.98; 0.0023045914; 0.44059552703211
170.00; 0.0022938839; 0.44293060186962
171.02; 0.0022875871; 0.44525926679831
172.03; 0.0022862226; 0.44758654277424
173.05; 0.0022906745; 0.44991835060793
174.07; 0.0023017841; 0.45226146753065
175.09; 0.0023198515; 0.45462297622932
176.11; 0.0023441982; 0.45700926883671
177.12; 0.002372944; 0.45942482347646
178.14; 0.0024030996; 0.46187107521925
179.16; 0.0024309922; 0.46434572034919
180.18; 0.0024529447; 0.46684271219984
181.20; 0.0024660545; 0.46935304924545
182.21; 0.0024688842; 0.47186626677896
183.23; 0.0024619006; 0.47437237534317
184.25; 0.002447558; 0.47686388376971
185.27; 0.0024300008; 0.4793375197128
186.29; 0.002414433; 0.48179530833458
187.30; 0.0024062511; 0.4842447680706
188.32; 0.0024100642; 0.48669810942567
189.34; 0.0024287455; 0.48917046756629
190.36; 0.0024626714; 0.4916773607482
191.38; 0.0025093199; 0.49423174016607
192.39; 0.0025633893; 0.49684115982125
193.41; 0.0026175361; 0.49950569866463
194.43; 0.0026637164; 0.50221724698655
195.45; 0.002694933; 0.50496057246043
196.47; 0.0027070216; 0.50771620358721
197.48; 0.0026999899; 0.51046467681051
